name,unit,category,brand,stock,imageUrl,status
Apple iPhone 15 (4),pcs,electronics,Apple,50,https://picsum.photos/seed/iphone15/200/200,In stock
Samsung Galaxy S23 (4),unit,electronics,Samsung,0,https://picsum.photos/seed/galaxys23/200/200,Out of Stock
Sony WH-1000XM5 (4),pcs,electronics,Sony,25,https://picsum.photos/seed/sonyxm5/200/200,In stock
Dell Inspiron Laptop (4),box,electronics,Dell,15,https://picsum.photos/seed/dellinspiron/200/200,In stock
Asus Gaming Mouse (4),pcs,electronics,Asus,0,https://picsum.photos/seed/asusmouse/200/200,Out of Stock
Nike Running Shoes (4),pair,fashion-apparel,Nike,120,https://picsum.photos/seed/nikeshoes/200/200,In stock
Adidas Hoodie (4),pcs,fashion-apparel,Adidas,80,https://picsum.photos/seed/adidashoodie/200/200,In stock
Puma Backpack (4),set,fashion-apparel,Puma,45,https://picsum.photos/seed/pumabackpack/200/200,In stock
Tata Salt (4),kg,home-kitchen,Tata,200,https://picsum.photos/seed/tatasalt/200/200,In stock
Aashirvaad Atta (4),kg,home-kitchen,ITC,0,https://picsum.photos/seed/aashirvaad/200/200,Out of Stock
Pepsi 1L (4),L,home-kitchen,Pepsi,150,https://picsum.photos/seed/pepsi/200/200,In stock
Coca Cola 750ml (4),ml,home-kitchen,Coca Cola,140,https://picsum.photos/seed/cocacola/200/200,In stock
Amul Butter (4),pcs,home-kitchen,Amul,90,https://picsum.photos/seed/amulbutter/200/200,In stock
Mother Dairy Milk 1L (4),L,home-kitchen,Mother Dairy,0,https://picsum.photos/seed/milk/200/200,Out of Stock
Lux Body Soap (4),pcs,beauty-personal-care,Lux,300,https://picsum.photos/seed/luxsoap/200/200,In stock
Colgate Toothpaste 200g (4),tube,beauty-personal-care,Colgate,220,https://picsum.photos/seed/colgate/200/200,In stock
Surf Excel 1kg (4),pcs,home-kitchen,Hindustan Unilever,75,https://picsum.photos/seed/surfexcel/200/200,In stock
Harpic Toilet Cleaner 500ml (4),bottle,home-kitchen,Harpic,50,https://picsum.photos/seed/harpic/200/200,In stock
Maggi Noodles 280g (4),pack,home-kitchen,Nestle,0,https://picsum.photos/seed/maggi/200/200,Out of Stock
Yoga Mat (4),set,sports-fitness,Reebok,70,https://picsum.photos/seed/yogamat/200/200,In stock
Lego Building Blocks (4),pack,kids-toys,Lego,150,https://picsum.photos/seed/lego/200/200,In stock
